brand,cut,date_scrape,description_bullet,description_paragraph,name,picture_urls,post_back_rise_inch,post_front_rise_inch,post_inseam_inch,post_knee_inch,post_leg_opening_inch,post_upper_thigh_inch,post_waist_inch,pre_back_rise_inch,pre_front_rise_inch,pre_inseam_inch,pre_knee_inch,pre_leg_opening_inch,pre_upper_thigh_inch,pre_waist_inch,retail_price,sale_price,tag_size,url,user_enter,weight
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:06.480611+00:00,"14.5oz Japanese Selvedge Denim,100% Cotton,Made in Canada,SKU: 101085306","The Dirty Fade Selvedge is a 14.5oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The indigo dyed warp yarns start off as a dusty brown shade of cotton. Over time with wear, layers of indigo will begin fade away revealing a brown undertone, hence the name Dirty Fade. Other details include contrast stitching, roughout tan leather patch, red selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 14.5oz Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 101085306 
",Dirty Fade Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101085306-FOLDED_1024x.jpg?v=1594813152,//cdn.shopify.com/s/files/1/0322/0537/products/101085306-FRONT_1024x1024_efd4ca73-8b14-4659-b661-b8aa83360cc2_1024x.jpg?v=1604424122,//cdn.shopify.com/s/files/1/0322/0537/products/101085306-BACK_1024x1024_71bac3be-4404-453a-b6d9-d7c6d3ae4f91_1024x.jpg?v=1604424123,//cdn.shopify.com/s/files/1/0322/0537/products/018531-HEM_1800x_1024x1024_d7faf299-0b5a-44b5-bc8f-e93c18159f65_1024x.jpg?v=1604424123",",11.75"",12"",12.25"",12.75"",13"",13.25"",13.5"",14"",14.5"",14.75"",,",",11.5"",11.5"",11.75"",12"",12"",12.25"",12.25"",12.5"",12.75"",13"",,",,",8.75"",9"",9.25"",9.5"",9.75"",10"",10"",10.5"",11"",11.25"",,",",6"",6.25"",6.5"",6.75"",7"",7"",7.25"",7.75"",8"",8.5"",,",",11.75"",12"",12.25"",12.75"",13"",13.25"",13.5"",14"",14.25"",14.5"",,",",31"",32"",33"",34"",35"",36"",37"",39"",41"",43"",,",,,,,,,,165.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-dirty-fade-selvedge,NFDenimBot,14.5
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:13.427031+00:00,"12oz Japanese Denim,95% Cotton / 5% Elastane,Made in Canada,SKU: 101030106","The Black Power Stretch is a 12oz denim dyed black on both the warp and weft for a solid black color tone. The dye is resistant to fading to ensure the jeans stay blacker longer. Made with 5% stretch for increased comfort and incredible stretch recovery performance that allows the jeans to snap back to shape wear after wear. Other details include tonal stitching, full grain black leather patch, silver metallic waist button and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 12oz Japanese Denim 
 95% Cotton / 5% Elastane 
 Made in Canada 
 SKU: 101030106 
",Black Power Stretch,"//cdn.shopify.com/s/files/1/0322/0537/products/101030106-FOLDED_1024x.jpg?v=1569011584,//cdn.shopify.com/s/files/1/0322/0537/products/101030106-FRONT_1024x1024_9affcce1-54be-4c9f-a7de-f0b8466aa5f2_1024x.jpg?v=1599064685,//cdn.shopify.com/s/files/1/0322/0537/products/101030106-BACK_1024x1024_762fd08b-088e-4657-92d0-502d7b0c8a31_1024x.jpg?v=1599064684,//cdn.shopify.com/s/files/1/0322/0537/products/013011-HEM_1024x.jpg?v=1599064684",",14.75"",15"",15"",15"",15"",15"",15.25"",15.25"",15.75"",15.75"",16"",16""",",11.25"",11.5"",11.5"",11.75"",11.75"",12"",12"",12.25"",12.5"",12.5"",12.75"",13""",,",8.25"",8.5"",8.75"",9"",9.25"",9.25"",9.5"",9.75"",10.25"",10.5"",10.75"",11""",",6.25"",6.25"",6.5"",6.75"",7"",7"",7.25"",7.5"",8"",8.25"",8.5"",8.5""",",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13"",13.25"",13.75"",14"",14.25"",14.5""",",30.5"",32"",33"",34"",35"",36"",37"",39"",41"",43"",45"",47""",,,,,,,,153.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-black-power-stretch,NFDenimBot,12
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:20.311977+00:00,,"The Indigo Power Stretch is a 12oz Japanese power stretch denim, woven in a right hand twill construction. The denim is dyed indigo on the warp and white on the weft for a classic look.  The dye is designed to fade with prolonged wear. The denim is made with 5% stretch for increased comfort, and has an incredible stretch recovery performance allowing the jeans to snap back to shape wear after wear. Other details include contrast stitching, full grain brown leather patch, silver metallic waist button and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 12oz Japanese Denim 
 95% Cotton / 5% Elastane 
 Made in Canada 
 SKU: 101030806 
",Indigo Power Stretch,"//cdn.shopify.com/s/files/1/0322/0537/products/101030806-FOLDED_1024x.jpg?v=1569023761,//cdn.shopify.com/s/files/1/0322/0537/products/101030806-FRONT_1024x1024_54f169ab-c59d-4b51-bfc9-2129c10bc4dd_1024x.jpg?v=1604424852,//cdn.shopify.com/s/files/1/0322/0537/products/101030806-BACK_1024x1024_58389ecf-3b14-4bd3-a057-09c799ab7a6f_1024x.jpg?v=1604424851,//cdn.shopify.com/s/files/1/0322/0537/products/013085-HEM_1024x1024_1024x1024_1cd37e3e-ff39-471b-bca7-dbe07b0c8290_1024x.jpg?v=1604424851",",14.5"",14.75"",14.75"",15"",15"",15"",15.25"",15.25"",15.5"",15.75"",,",",11.25"",11.5"",11.5"",11.75"",11.75"",11.75"",11.75"",12"",12"",12.25"",,",,",8"",8.5"",8.5"",8.75"",9"",9.25"",9.5"",9.75"",10"",10.25"",,",",6"",6.25"",6.25"",6.5"",6.75"",6.75"",7"",7.25"",7.5"",7.75"",,",",11.25"",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13"",13.25"",13.5"",,",",31"",32"",32.75"",33.5"",34.5"",35.5"",36.5"",38.5"",40.5"",42.5"",,",,,,,,,,162.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-indigo-power-stretch,NFDenimBot,12
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:27.431226+00:00,"11oz Japanese Selvedge Denim,98% Cotton  /  2% Elastane,Made in Canada,SKU : 015506","The 11oz Stretch Selvedge is a lightweight indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The fabric is tightly woven giving the jeans a uniform surface appearance. This denim is made with 2% stretch for added comfort, without compromising durability. Other details include contrast stitching, English tan leather patch, red selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 11oz Japanese Selvedge Denim 
 98% Cotton  /  2% Elastane 
 Made in Canada 
 SKU : 015506 
",11oz Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/015506-FOLDED_1800x_f6e49a72-635a-48a6-a080-f58f92c4f21b_1024x.jpg?v=1594815100,//cdn.shopify.com/s/files/1/0322/0537/products/015506-FRONT_1024x1024_5a2870a7-88ee-490a-ab2b-bc906a847025_1024x.jpg?v=1594815099,//cdn.shopify.com/s/files/1/0322/0537/products/015506-BACK_1024x1024_cfe2f6cb-08e4-4c2f-9bad-232f331e7009_1024x.jpg?v=1594815099,//cdn.shopify.com/s/files/1/0322/0537/products/015506-HEM_1800x_a25a5a06-417b-41ac-bdec-8bbfd5fe9ba5_1024x.jpg?v=1594815099",",14.5"",14.75"",14.75"",15"",15"",15.25"",15.25"",15.5"",15.75"",,,",",11.5"",11.5"",11.5"",11.75"",11.75"",12"",12"",12.25"",12.5"",13"",,",,",8.5"",8.75"",9"",9"",9.25"",9.5"",9.5"",10.25"",10.75"",10.75"",,",",6"",6.5"",6.5"",6.75"",7"",7.25"",7.25"",7.5"",8"",8"",,",",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13"",13.5"",14"",14.5"",,",",30"",32"",33"",34"",35"",36"",37"",39.5"",41"",43"",,",,,,,,,,177.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/naked-famous-denim-easy-guy-11oz-stretch-selvedge,NFDenimBot,11
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:34.428773+00:00,"12oz Japanese Stretch Selvedge Denim,98% Cotton / 2% Polyurethane,Made in Canada,SKU: 101095106","The Deep Indigo Stretch Selvedge is a 12oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The deep indigo color is created by combining an indigo dyed warp and grey weft. This denim is made with 2% stretch for added comfort, without compromising durability. Other details include contrast stitching, full grain English tan leather patch, red selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 12oz Japanese Stretch Selvedge Denim 
 98% Cotton / 2% Polyurethane 
 Made in Canada 
 SKU: 101095106 
",Deep Indigo Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101095106-FOLDED_b050dafa-60a3-496a-b6a1-b986e252c132_1024x.jpg?v=1594813087,//cdn.shopify.com/s/files/1/0322/0537/products/101095106-FRONT_1024x1024_9dd4059a-5adb-42ad-842e-5e408b769da7_1024x.jpg?v=1604424046,//cdn.shopify.com/s/files/1/0322/0537/products/101095106-BACK_1024x1024_578c4775-9caf-4ef5-8256-dbf79bfc0261_1024x.jpg?v=1604424045,//cdn.shopify.com/s/files/1/0322/0537/products/019511-HEM_1800x_1024x1024_cbb44c36-137c-4d94-9dfe-5edf8ddcfc52_1024x.jpg?v=1604424046",",14.75"",15"",15"",15.25"",15.5"",15.5"",15.5"",15.75"",15.75"",15.75"",,",",11.75"",11.75"",12"",12"",12"",12"",12"",12"",12.25"",12.25"",,",,",8.75"",9"",9.25"",9.25"",9.5"",9.75"",10"",10.25"",10.5"",11"",,",",6.5"",6.75"",6.75"",6.75"",7"",7.25"",7.25"",7.25"",8"",8.25"",,",",12.5"",12.5"",12.5"",13"",13"",13.25"",13.25"",13.5"",13.75"",14"",,",",30"",31"",32"",33"",34"",35"",36"",38"",40"",42"",,",,,,,,,,172.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-deep-indigo-stretch-selvedge,NFDenimBot,12
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:42.327446+00:00,"12oz Japanese Selvedge Denim,98% Cotton / 2% Elastane,Made in Canada,SKU: 101027206","The Indigo / Indigo Stretch Selvedge is a 12oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The denim is dyed indigo on both the warp and weft for a solid indigo color tone.  Made with 2% stretch for added comfort, without compromising durability. Other details include tonal stitching, full grain navy leather patch, red selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 12oz Japanese Selvedge Denim 
 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU: 101027206 
",Indigo / Indigo Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101027206-FOLDED_1024x.jpg?v=1569023761,//cdn.shopify.com/s/files/1/0322/0537/products/101027206-FRONT_1024x1024_ee200869-af0b-4512-a7dd-7941aa3f0d3c_1024x.jpg?v=1604424219,//cdn.shopify.com/s/files/1/0322/0537/products/101027206-BACK_1024x1024_569f75a6-9d04-4d77-8120-f04a14d199b1_1024x.jpg?v=1604424220,//cdn.shopify.com/s/files/1/0322/0537/products/012723-HEM_1800x_1024x1024_f82107a5-8d3a-4bcc-b3c0-f73ec39b2611_1024x.jpg?v=1604424219",",15"",15.25"",15.25"",15.5"",15.75"",15.75"",16"",16.25"",16.25"",,,",",11"",11"",11"",11.25"",11.5"",11.5"",11.75"",12"",12.5"",,,",,",8.5"",8.5"",8.75"",9"",9.25"",9.5"",9.5"",10"",10.5"",,,",",6"",6.25"",6.5"",6.5"",6.75"",7"",7"",7.5"",8"",,,",",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13"",13.5"",14"",,,",",29"",31"",32"",33"",34"",35"",36"",38"",40"",,,",,,,,,,,172.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-indigo-indigo-stretch-selvedge,NFDenimBot,12
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:49.425774+00:00,,"The Stretch Selvedge is one of the most popular core selvedge fabrics in Naked & Famous Denim's lineup. Woven on vintage shuttle looms in a right hand twill construction, this 12.5oz Japanese selvedge denim combines the comfort of stretch denim with the beauty and fading potential of raw denim. The 2% elastane eliminates the break-in period and gives you a continual level of comfort that you can't experience in 100% cotton jeans. Other details include contrast stitching, full grain English tan leather patch, red selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 
 12.5oz Japanese Selvedge Denim 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU: 101033306 
 
",Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101033306-FOLDED_1024x1024_8a0a93e2-7cd4-45ba-8d55-c2d7516ace9a_1024x.jpg?v=1569103889,//cdn.shopify.com/s/files/1/0322/0537/products/101033306-FRONT_1024x1024_5ab1ee03-accb-4fd2-a6aa-1a12311e329b_1024x.jpg?v=1604425089,//cdn.shopify.com/s/files/1/0322/0537/products/101033306-BACK_1024x1024_b2d34b35-c85e-40b9-b1fe-c0f9302dca3b_1024x.jpg?v=1604425089,//cdn.shopify.com/s/files/1/0322/0537/products/101033306-HEM_1800x_f5c6012c-5e8e-49df-be3b-740db3febde1_1024x.jpg?v=1604425090",",15"",15"",15"",15.25"",15.25"",15.5"",15.75"",15.75"",16"",16.25"",16.5"",",",11.25"",11.5"",11.75"",11.75"",11.75"",12"",12"",12.25"",12.5"",13"",13.25"",",,",8.75"",9"",9"",9.5"",9.5"",9.75"",9.75"",1025"",10.75"",11"",11.25"",",",6.25"",6.5"",6.5"",6.75"",6.75"",6.75"",7"",7.5"",8"",8.25"",8.25"",",",12"",12"",12"",12.5"",12.5"",12.5"",13"",13.75"",14.25"",14.5"",15"",",",31"",31.5"",33.5"",34.5"",35.5"",36.5"",38"",39"",41"",43.5"",44.5"",",,,,,,,,165.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-stretch-selvedge,NFDenimBot,12.5
Naked & Famous Denim,Easy Guy,2021-01-22 08:55:56.450335+00:00,"12oz Japanese Stretch Selvedge Denim,98% Cotton / 2% Elastane ,Made in Canada,SKU: 101904006","The Black Cobra Stretch Selvedge is a 12oz Japanese selvedge denim with a black warp and a black weft to create a pitch-black denim – the only flash of color comes from the red line selvedge ID. The standard weight fabric can be worn year-round, and the touch of stretch offers comfort and flexibility without compromising durability. Cut, sewn, built in Canada with black stitching, a black full grain leather patch, and mil-spec non-reflective black metal buttons and rivets. The Easy Guy is a high-rise tapered fit with a relaxed top block and a sharp taper from knee to hem.   
 12oz Japanese Stretch Selvedge Denim 
 98% Cotton / 2% Elastane  
 Made in Canada 
 SKU: 101904006 
",Black Cobra Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101904006-A_1024x.jpg?v=1594821542,//cdn.shopify.com/s/files/1/0322/0537/products/101904006-B_1024x.jpg?v=1594821541,//cdn.shopify.com/s/files/1/0322/0537/products/101904006-C_1024x.jpg?v=1594821542,//cdn.shopify.com/s/files/1/0322/0537/products/101904006-D_00083977-977a-4f6f-a095-0542e0606e63_1024x.jpg?v=1594821542",",14.5"",14.75"",15"",15"",15.25"",15.5"",15.5"",16"",16.5"",16.5"",,",",11.25"",11.25"",11.5"",11.5"",11.75"",11.75"",12"",12.25"",12.5"",13"",,",,",8.5"",8.75"",9"",9"",9.5"",9.75"",10"",10.5"",10.5"",11"",,",",6"",6.25"",6.5"",6.75"",7"",7"",7.25"",7.5"",7.75"",8"",,",",11.5"",11.75"",12"",12"",12.5"",12.5"",13"",13.5"",14"",15"",,",",30"",31"",32"",33"",34"",35"",36"",37"",40"",42"",,",,,,,,,,177.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/naked-famous-denim-easy-guy-black-cobra-stretch-selvedge,NFDenimBot,12
Naked & Famous Denim,Easy Guy,2021-01-22 08:56:04.445191+00:00,"12oz Japanese Selvedge Denim,98% Cotton  /  2% PU,Made in Canada,SKU: 101098006","The Nightshade Stretch Selvedge is a 12oz Japanese selvedge denim with 2% stretch for added comfort. The color of the denim is created with the addition of a black dye to the indigo, the combination creates a rich indigo tone that is nearly black. Other details include contrast stitching, brown leather patch, red selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 12oz Japanese Selvedge Denim 
 98% Cotton  /  2% PU 
 Made in Canada 
 SKU: 101098006 
",Nightshade Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101098006-FOLDED_1024x.jpg?v=1594815516,//cdn.shopify.com/s/files/1/0322/0537/products/101098006-FRONT_1024x.jpg?v=1594815516,//cdn.shopify.com/s/files/1/0322/0537/products/101098006-BACK_1024x.jpg?v=1594815515,//cdn.shopify.com/s/files/1/0322/0537/products/101098000-HEM_1024x.jpg?v=1594815515",",,,,,,,,,,,,","10.75"",11"",11"",11.25"",11.5"",11.75"",11.75"",11.75"",12.25"",12.25"",12.5"",13"",13""",,"8.25"",8.5"",8.5"",8.75"",9"",9.25"",9.5"",9.5"",10"",10.5"",10.75"",11"",11.5""","5.75"",6"",6.25"",6.25"",6.75"",6.75"",7"",7.25"",7.5"",7.75"",8.25"",8.5"",9""","11.25"",11.5"",11.75"",12"",12.5"",12.5"",12.75"",13"",13.5"",14"",14.5"",15"",15.25""","28.5"",29.5"",30.5"",31.5"",32.5"",33.5"",34.5"",36"",38"",39"",41.5"",44"",46""",,,,,,,,160.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-nightshade-stretch-selvedge,NFDenimBot,12
Naked & Famous Denim,Easy Guy,2021-01-22 08:56:11.419792+00:00,,"The Deep Indigo Selvedge is a 15oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The fabric is incredibly rigid which produces distinct wear patterns. Over time with wear, the deep indigo color fades to electric blue hues, resulting in high contrast fades. Other details include contrast stitching, full grain brown leather patch, pink selvedge ID, silver metallic buttons and rivets. The Easy Guy is a relaxed tapered fit; high rise, fuller in the seat and thigh with a sharp taper from knee to hem. 
 15oz Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 101055506 
",Deep Indigo Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101055506-FOLDED_1024x.jpg?v=1569052674,//cdn.shopify.com/s/files/1/0322/0537/products/101055506-FRONT_1024x1024_115b98a3-4288-4557-9c45-60a2e234dbc8_1024x.jpg?v=1604424040,//cdn.shopify.com/s/files/1/0322/0537/products/101055506-BACK_1024x1024_03959833-d43a-47ff-9d4e-3efbc0db7928_1024x.jpg?v=1604424039,//cdn.shopify.com/s/files/1/0322/0537/products/101055500-HEM_1024x1024_146fdadf-14c3-44c8-8de0-ed7711c3c733_1024x.jpg?v=1604424040",",14.5"",14.75"",15"",15.25"",15.5"",16"",16"",16.25"",16.25"",16.5"",16.5"",",",11.75"",11.75"",12"",12"",12"",12.25"",12.25"",12.5"",12.75"",13"",13.25"",",,",8.75"",9"",9.25"",9.25"",9.5"",9.75"",10"",10.25"",10.5"",10.75"",11.25"",",",6.25"",6.5"",6.5"",6.75"",6.75"",7"",7.25"",7.5"",7.75"",8.25"",8.75"",",",11.75"",12"",12.25"",12.5"",12.75"",13.25"",13.5"",14"",14.25"",14.75"",15.5"",",",31"",31.5"",32"",33"",34"",35"",36"",38"",40.5"",42"",44"",",,,,,,,,175.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-easy-guy/products/easy-guy-deep-indigo-selvedge,NFDenimBot,15
