brand,cut,date_scrape,description_bullet,description_paragraph,name,picture_urls,post_back_rise_inch,post_front_rise_inch,post_inseam_inch,post_knee_inch,post_leg_opening_inch,post_upper_thigh_inch,post_waist_inch,pre_back_rise_inch,pre_front_rise_inch,pre_inseam_inch,pre_knee_inch,pre_leg_opening_inch,pre_upper_thigh_inch,pre_waist_inch,retail_price,sale_price,tag_size,url,user_enter,weight
Naked & Famous Denim,Super Guy,2021-01-22 05:47:35.562017+00:00,"12.5oz Japanese Selvedge Denim,100% Cotton ,Made in Canada,SKU: 015010","The Natural Indigo Selvedge is a 12.5oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. Natural indigo dye derived from fermenting the indigofera plant is used to create the mid blue color tone of these jeans. Other details include contrast stitching, full grain English tan leather patch, blue selvedge ID, dark copper buttons and rivets. The Super Guy is a slim tapered fit; medium rise, slim thigh and taper from the knee to hem. 
 12.5oz Japanese Selvedge Denim 
 100% Cotton  
 Made in Canada 
 SKU: 015010 
",Natural Indigo Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/015010-FOLDED_402d0f5e-09b2-432e-8438-e94b3726f5d9_1024x.jpg?v=1569008541,//cdn.shopify.com/s/files/1/0322/0537/products/015010-FRONT_1024x1024_235bff6e-0486-4aed-ae9f-4cf244a53125_1024x.jpg?v=1604430955,//cdn.shopify.com/s/files/1/0322/0537/products/015010-BACK_1024x1024_1fa48728-cc21-48f9-b683-d3e195293e28_1024x.jpg?v=1604430955,//cdn.shopify.com/s/files/1/0322/0537/products/015010-HEM_1024x1024_1b33d72f-efa0-4039-af6c-9d506e175e12_1024x.jpg?v=1604430955",",14.25"",14.25"",14.5"",14.5"",14.75"",15"",15"",15.5"",15.75"",16"",16"",16.25""",",9.25"",9.5"",9.5"",9.75"",9.75"",9.75"",10"",10.25"",10.5"",10.75"",11.25"",11.5""",,",7.5"",7.5"",7.75"",8"",8.25"",8.25"",8.5"",9"",9.5"",10"",10.25"",10.5""",",6"",6.25"",6.5"",6.75"",7"",7"",7.25"",7.5"",8"",8.25"",8.75"",9""",",10.75"",11"",11.25"",11.5"",11.75"",12"",12.5"",13"",13.25"",13.75"",14"",14.75""",",29"",30"",31"",32"",33"",34"",35"",37"",39"",41"",44"",46""",,,,,,,,165.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-denim-super-guy-natural-indigo-selvedge,NFDenimBot,12.5
Naked & Famous Denim,Super Guy,2021-01-22 05:47:43.747140+00:00,"11oz Japanese Selvedge Denim,98% Cotton / 2% Elastane,Made in Canada,SKU: ","Raw Japanese selvedge denim with an ectoplasmic selvedge edge: The Ghostbusters® Supernatural Selvedge.      This 11oz rope-dyed indigo denim is woven on vintage Japanese shuttle looms and finished with a selvedge ID coated in chemiluminescent phosphors that glow in the dark when charged with direct light or under blacklight. Check out the selvedge ID on the coin pocket and when you cuff your jeans.       In the pop-art style of the Naked & Famous Denim tragic blond logo, the image of Janine Melnitz at Ghostbusters® HQ taking calls is embossed into the glow-in-the-dark leather patch. The word bubble contains a new co-branded Naked & Famous Denim X Ghostbusters® logo. Their iconic ‘No Ghost’ logo is embroidered on the back pocket. Check out the Stay Puft pocket bag screen printed with Peter Venkman, Raymond Stantz, Egon Spengler, and Winston Zeddemore. On the inside of the waistband, there’s the Naked & Famous Denim x Ghostbusters co-branded woven label. Every pair of jeans comes with a keychain blacklight, so you can light ‘em up whenever you want.   Raw Japanese selvedge denim. Paranormal selvedge ID.      The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem. © 2019 Columbia Pictures Industries, Inc. All rights reserved. 
 11oz Japanese Selvedge Denim 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU:  GB013600 
 
",Ghostbusters Supernatural Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/GB013600-A_1024x.jpg?v=1570656727,//cdn.shopify.com/s/files/1/0322/0537/products/GB013600-B_1024x.jpg?v=1570656727,//cdn.shopify.com/s/files/1/0322/0537/products/GB013600-C_1024x.jpg?v=1570656727,//cdn.shopify.com/s/files/1/0322/0537/products/GB013600-D_1024x.jpg?v=1570656727,//cdn.shopify.com/s/files/1/0322/0537/products/hem_glow_in_the_dark_bb4c5a54-5131-4d4b-8e67-f95ab4eaa35f_1024x.jpg?v=1568999922,//cdn.shopify.com/s/files/1/0322/0537/products/GB013603-E_797580b2-07eb-4d2d-a606-f0ed799d3f29_1024x.jpg?v=1570656751,//cdn.shopify.com/s/files/1/0322/0537/products/GB013603-F_b3598941-dbfc-4106-91f0-2a29897f73a9_1024x.jpg?v=1570656751",",14"",14.25"",14.5"",14.5"",14.75"",15"",15.25"",15.5"",15.75"",16"",16.25"",16.5""",",9.5"",9.75"",9.75"",10"",10"",10.25"",10.25"",10.5"",10.75"",11"",11.25"",11.5""",,",7.5"",7.75"",8"",8.25"",8.5"",8.75"",9"",9.5"",9.75"",10"",10.5"",11""",",6"",6.25"",6.25"",6.5"",6.75"",7"",7.25"",7.5"",7.75"",8.25"",8.75"",8.75""",",10"",10.25"",10.5"",10.75"",11"",11.25"",11.5"",12"",12.5"",13"",13.5"",13.75""",",30"",31"",32"",33"",34"",35"",36"",38"",40"",42"",44"",46""",,,,,,,,188.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-denim-super-guy-ghostbusters-supernatural-selvedge,NFDenimBot,11
Naked & Famous Denim,Super Guy,2021-01-22 05:47:52.468161+00:00,"14.5oz Japanese Selvedge Denim,100% Cotton,Made in Canada,SKU: 018530","The Dirty Fade Selvedge is a 14.5oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The indigo dyed warp yarns start off as a dusty brown shade of cotton. Over time with wear, layers of indigo will begin fade away revealing a brown undertone, hence the name Dirty Fade. Other details include contrast stitching, roughout tan leather patch, red selvedge ID, silver metallic buttons and rivets. The Super Guy is a slim tapered fit; medium rise, slim thigh and taper from the knee to hem. 
 14.5oz Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 018530 
",Dirty Fade Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/018530-FOLDED_485d75a1-6b80-4b30-9ba6-d66f97e27f6c_1024x.jpg?v=1569008511,//cdn.shopify.com/s/files/1/0322/0537/products/018530-FRONT_1024x1024_5d5aca6e-6bd8-433b-a9cf-ae4d4cded7fb_1024x.jpg?v=1604430579,//cdn.shopify.com/s/files/1/0322/0537/products/018530-BACK_1800x_47b057c3-4793-4d92-bb80-53222eb167a2_1024x.jpg?v=1604430580,//cdn.shopify.com/s/files/1/0322/0537/products/018530-HEM_1800x_860bc51c-c1a0-4476-adae-3e98b3430084_1024x.jpg?v=1604430580",",13.75"",14"",14"",14.25"",14.5"",14.5"",14.75"",15"",15.5"",,,",",9.25"",9.5"",9.5"",9.75"",9.75"",9.75"",10"",10.25"",10.25"",,,",,",7.5"",7.5"",7.75"",8"",8.25"",8.25"",8.75"",9"",9.5"",,,",",6.5"",6.5"",6.75"",7"",7.25"",7.5"",7.75"",8"",8"",,,",",10.5"",11"",11.25"",11.5"",1175"",12"",12.25"",13"",13.25"",,,",",29"",30"",31"",32"",33"",34"",35"",37"",38"",,,",,,,,,,,165.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-denim-super-guy-dirty-fade-selvedge,NFDenimBot,14.5
Naked & Famous Denim,Super Guy,2021-01-22 05:48:00.510898+00:00,"12.5oz Japanese Stretch Selvedge Denim,98% Cotton / 2% Elastane,Made in Canada,SKU: 101022300","The Kasuri Stretch Selvedge is a 12.5oz Japanese denim with a red line selvedge ID. The warp yarns are dyed using the traditional Japanese Kasuri method. Cotton yarns are wrapped and bound tightly in sections before being dipped in indigo dye, so only the unbound sections can absorb the indigo. After each dip, the binding is removed and other sections are bound, and the yarn is dipped in indigo again. Dyers repeat this process several times to create warp yarns that each have an irregular unique spectrum of indigo shades, dipped to near black in some places and medium blue in others. Weaving these indigo yarns into white weft yarns creates a fabric with a stunning variety of indigo shades reminiscent of rain falling heavier and lighter in different places. Cut, sewn, built in Canada with contrast stitching, an oiled ""crazy horse"" leather patch, and silver metallic buttons and rivets. The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem. 
 12.5oz Japanese Stretch Selvedge Denim 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU: 101022300 
",Kasuri Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101022300-A_1024x.jpg?v=1569135317,//cdn.shopify.com/s/files/1/0322/0537/products/101022300-B_1024x.jpg?v=1569135317,//cdn.shopify.com/s/files/1/0322/0537/products/101022300-C_1024x.jpg?v=1569135317,//cdn.shopify.com/s/files/1/0322/0537/products/101022303-D_1eb2b6dc-732a-433e-9336-29dc8ed10308_1024x.jpg?v=1569135317",",13.75"",14"",14"",14.25"",14.25"",14.5"",14.5"",15"",15"",15"",15.75"",",",9.5"",9.5"",9.5"",10"",10"",10.25"",10.25"",10.5"",10.75"",11"",11.25"",",,",7.5"",7.5"",8"",8"",8.25"",8.5"",8.5"",9"",9.5"",9.75"",10.5"",",",5.75"",6"",6"",6.5"",6.75"",7"",7"",7.5"",7.75"",8"",8.5"",",",10.5"",11"",11"",11"",11.25"",12"",12.25"",12.75"",13.25"",13.5"",14.25"",",",30"",31"",32"",33"",34"",35"",37"",39"",41"",43"",45"",",,,,,,,,157.00,94.00,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-super-guy-kasuri-stretch-selvedge,NFDenimBot,12.5
Naked & Famous Denim,Super Guy,2021-01-22 05:48:09.574564+00:00,"12oz Japanese Stretch Selvedge Denim,98% Cotton / 2% Elastane,Made in Canada,SKU: 101904000","The Black Cobra Stretch Selvedge is a 12oz Japanese selvedge denim with a black warp and a black weft to create a pitch-black denim – the only flash of color comes from the red line selvedge ID. The standard weight fabric can be worn year-round, and the touch of stretch offers comfort and flexibility without compromising durability. Cut, sewn, built in Canada with black stitching, a black full grain leather patch, and mil-spec non-reflective black metal buttons and rivets. The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem. 
 12oz Japanese Stretch Selvedge Denim 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU: 101904000 
",Black Cobra Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101904000-A_1024x.jpg?v=1594821461,//cdn.shopify.com/s/files/1/0322/0537/products/101904000-B_1024x.jpg?v=1594821461,//cdn.shopify.com/s/files/1/0322/0537/products/101904000-C_1024x.jpg?v=1594821460,//cdn.shopify.com/s/files/1/0322/0537/products/101904006-D_8b6159f0-6c99-4921-a769-a13665a9a074_1024x.jpg?v=1594821461",",13"",13.5"",13.75"",14"",14.25"",14.5"",15"",15"",15.25"",16"",16.25"",16.5""",",9.5"",9.75"",10"",10.25"",10.5"",10.5"",10.75"",11"",11"",11.5"",11.5"",11.75""",,",7.5"",7.75"",8"",8.25"",8.5"",8.5"",8.75"",9"",9.25"",9.5"",10"",10.25""",",6"",6.25"",6.5"",6.75"",7"",7"",7.25"",7.5"",7.75"",8"",8.5"",8.75""",",10"",10.5"",10.75"",11"",11.25"",11.5"",11.75"",12"",12.5"",13"",13.25"",14""",",29"",30"",31"",32"",33"",34"",35"",37"",40"",41"",43"",45""",,,,,,,,177.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-super-guy-black-cobra-stretch-selvedge,NFDenimBot,12
Naked & Famous Denim,Super Guy,2021-01-22 05:48:18.504680+00:00,,"The Black Power Stretch is a 12oz denim dyed black on both the warp and weft for a solid black color tone. The dye is resistant to fading to ensure the jeans stay blacker longer. Made with 5% stretch for increased comfort and incredible stretch recovery performance that allows the jeans to snap back to shape wear after wear. Other details include tonal stitching, full grain black leather patch, silver metallic waist button and rivets. The Super Guy is a slim tapered fit; medium rise, slim thigh and taper from the knee to hem. 
 
 12oz Japanese Denim 
 95% Cotton / 5% Elastane 
 Made in Canada 
 SKU: 013010 
 
",Black Power Stretch,"//cdn.shopify.com/s/files/1/0322/0537/products/013010-FOLDED_f447efdf-8a69-4368-803e-0865edfb151b_1024x.jpg?v=1569008511,//cdn.shopify.com/s/files/1/0322/0537/products/013010-FRONT_1024x1024_570fba8c-0b20-46b2-b610-ffd03fdcd440_1024x.jpg?v=1599064519,//cdn.shopify.com/s/files/1/0322/0537/products/013010-BACK_1024x1024_79e15d47-5774-4ecf-8941-e3c365a38a37_1024x.jpg?v=1599064519,//cdn.shopify.com/s/files/1/0322/0537/products/013010-HEM_1024x1024_2d651fb3-61c6-457d-8302-a09d85e27601_1024x.jpg?v=1599064518","13.75"",14"",14.25"",14.5"",14.5"",14.75"",14.75"",15"",15.25"",15.5""","9.25"",9.25"",9.5"",9.75"",9.75"",10"",10"",10.25"",10.5"",10.5""",,"7.5"",7.5"",7.75"",8"",8.25"",8.25"",8.5"",8.75"",9"",9.5""","6.5"",6.5"",6.75"",7"",7.25"",7.25"",7.5"",8"",8.5"",8.5""","10"",10.25"",10.5"",10.75"",11"",11.25"",11.5"",12"",12.5"",12.75""","29"",30"",31"",32"",33"",34"",35"",37"",39"",40.5""",,,,,,,,153.00,,"28,29,30,31,32,33,34,36,38,40",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-super-guy-black-power-stretch,NFDenimBot,12
Naked & Famous Denim,Super Guy,2021-01-22 05:48:27.498299+00:00,"Japanese Fabric,Made in Canada,SKU: 101222200","The Sakiori Denim is a 16oz Japanese rag cloth made from recycled denim scraps. Sakiori weaving replaces warp yarns with fabric scraps. Each scrap of denim comes in its own shade of indigo and each one has edges that turn and fray. Over 250 years ago, Japanese peasants used Sakiori weaving to create whole rugs, garments from assorted scraps of fabric. With time and appreciation of the labor involved with making such irregular but invariably richly textured and colored cloth, such fabric became very expensive. 85% cotton, 15% acrylic. Bonded for durability. Cut, sewn, built in Canada with tonal stitching, a Navy Premium Suede patch, and silver metallic buttons and rivets. The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem. 
 Japanese Fabric 
 85% Cotton, 15% Acrylic 
 Made in Canada 
 SKU: 101222200 
",Sakiori Denim,"//cdn.shopify.com/s/files/1/0322/0537/products/101222206-A_afeab137-7a67-4ab1-8d30-7c18b208e828_1024x.jpg?v=1581012464,//cdn.shopify.com/s/files/1/0322/0537/products/101222206-B_40a01142-400c-4631-9486-0f7c9c5552c0_1024x.jpg?v=1581012464,//cdn.shopify.com/s/files/1/0322/0537/products/101222206-C_a477b035-c389-413b-a3e5-5178676b2021_1024x.jpg?v=1581012464,//cdn.shopify.com/s/files/1/0322/0537/products/101222206-D_18901576-2a8b-46c4-9445-d44d13e8c54c_1024x.jpg?v=1581012464",",,14.25"",14.5"",14.75"",14.75"",14.75"",15"",15.5"",,,,",",,9.5"",9.75"",9.75"",10"",10.25"",10.5"",10.5"",,,,",,",,7"",7.25"",7.25"",8"",8"",8.25"",8.75"",,,,",",,6"",6"",6.25"",6.5"",6.75"",6.75"",7"",,,,",",,10.75"",11"",11.25"",11.5"",11.5"",12"",12.25"",,,,",",,31"",31.5"",32"",33"",34"",35"",37"",,,,",,,,,,,,440.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-super-guy-sakiori-denim,NFDenimBot,16
Naked & Famous Denim,Super Guy,2021-01-22 05:48:35.800723+00:00,"100% Cotton,23oz Japanese Selvedge Denim,Made in Japan,SKU: 101024900","With the same DNA as the King of Slub, the Emperor of Slub is a 23oz Unsanforized Japanese Selvedge denim. It took two years to develop the King Slub Yarn. Standard slubby yarns could not create such extreme three-dimensional ridges. The King of Slub Yarn varies in thickness, so the indigo absorption varies in different parts of the yarn. As the dye chips away with wear, it will reveal a spectrum of indigo hues in the heavily textured fabric. The Grand Blue color is achieved with the indigo warp woven into a navy weft for a rich blue denim with a red selvedge ID.  This denim is unsanforized, however a special Tenpi wash treatment was applied to preshrink and preserve the natural rigidness and beauty of the fabric. There is no need to pre-soak this denim, it is ready to wear from the first day.  Dyed, woven, cut, sewn, built in Japan using contrast stitching, a Japanese sheepskin patch with the Naked & Famous Made in Japan logo, dark copper rivets, iron capped buttons, and the MIJ signature red maple leaf embroidered onto the back pocket. The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem. 
 100% Cotton 
 23oz Japanese Selvedge Denim 
 Made in Japan 
 SKU: 101024900 
",Emperor of Slub - Grand Blue,"//cdn.shopify.com/s/files/1/0322/0537/products/101024900-A_1024x.jpg?v=1569527629,//cdn.shopify.com/s/files/1/0322/0537/products/101024900-B_1024x.jpg?v=1569527629,//cdn.shopify.com/s/files/1/0322/0537/products/101024900-C_1024x.jpg?v=1569527629,//cdn.shopify.com/s/files/1/0322/0537/products/101024900-D_1024x.jpg?v=1569527629","12.5"",12.75"",12.75"",13"",13.25"",13.5"",13.75"",14.25"",14.5"",15.5""","9"",9"",9.5"",9.5"",9.5"",9.75"",10"",10"",10.5"",10.5""",,"7.25"",7.5"",7.75"",8"",8"",8.25"",8.5"",9"",9.25"",9.75""","5.75"",6"",6.25"",6.25"",6.5"",6.75"",7"",7.5"",7.5"",8""","10"",10.25"",10.5"",11"",11"",11.5"",12"",12.5"",13"",13.5""","30"",30.5"",31.5"",33"",33.5"",34"",35"",37"",39"",41""",,,,,,,,498.00,,"28,29,30,31,32,33,34,36,38,40",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-super-guy-emperor-of-slub-grand-blue,NFDenimBot,23
Naked & Famous Denim,Super Guy,2021-01-22 05:48:44.360634+00:00,"11oz Japanese Duck Canvas,100% Cotton,Made in Canada,SKU: 101080000","The Indigo Tradition Canvas is an 11oz Japanese duck canvas with both the warp and weft rope-dyed in indigo vats. To create such a deep indigo shade, the yarns have to be dipped into indigo vats over and over and over again, never sitting in the dye long enough to permeate the core of the yarn. But with wear, the opposite process occurs, and the dips chip away layer by layer to reveal a rich spectrum of indigo that can be achieved through no other means.   To highlight this from the start the garment has been rinse washed, giving the fabric added texture and uncovering indigo tones from within the yarn.   Cut, sewn, built in Canada with tonal stitching, a Navy Full Grain leather patch, and black mil-spec non-reflective buttons and rivets.   The Super Guy is a skinny fit with a medium rise, a slim top block, and a taper from knee to hem. 
 11oz Japanese Duck Canvas 
 100% Cotton 
 
 Made in Canada 
 SKU: 101080000 
",Indigo Tradition Canvas,"//cdn.shopify.com/s/files/1/0322/0537/products/101080000-A_1024x.jpg?v=1583934750,//cdn.shopify.com/s/files/1/0322/0537/products/101080000-B_1024x.jpg?v=1583934750,//cdn.shopify.com/s/files/1/0322/0537/products/101080000-C_1024x.jpg?v=1583934750,//cdn.shopify.com/s/files/1/0322/0537/products/101080000-D_1024x.jpg?v=1583934750",",13.25"",13.25"",13.5"",13.75"",13.75"",14"",14.25"",14.5"",14.75"",15"",15.25"",",",9.25"",9.25"",9.5"",9.5"",9.75"",9.75"",10"",10.25"",10.25"",10.5"",10.75"",",,",7.25"",7.5"",7.75"",8"",8"",8.25"",8.5"",8.75"",9.25"",9.75"",10"",",",5.75"",5.75"",6"",6.25"",6.5"",6.5"",6.75"",7"",7.25"",7.5"",8"",",",10.5"",10.75"",11"",11.25"",11.5"",11.5"",11.75"",12.25"",13"",13.5"",13.75"",",",29"",30"",31"",32"",33"",34"",35"",36"",38"",40"",42"",",,,,,,,,136.00,81.00,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/naked-famous-super-guy-indigo-tradition-canvas,NFDenimBot,11
Naked & Famous Denim,Super Guy,2021-01-22 05:48:52.536868+00:00,"13oz Japanese Selvedge Denim,100% Cotton,Made in Canada,SKU: 101010800","The Indigo Selvedge is a 13oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The fabric is dense, and will slowly fade with wear. Other details include contrast stitching, full grain brown leather patch, red selvedge ID, silver metallic buttons and rivets. The Super Guy is a slim tapered fit; medium rise, slim thigh and taper from the knee to hem. 
 13oz Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 101010800 
",Indigo Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/101010800-FOLDED_1800x_6b7d7c55-daa1-4cb7-8362-1b69e9651f82_1024x.jpg?v=1594817250,//cdn.shopify.com/s/files/1/0322/0537/products/101010800-FRONT_1800x_d41cfe75-4bbe-42cb-8ec5-17778eba6299_1024x.jpg?v=1594817251,//cdn.shopify.com/s/files/1/0322/0537/products/101010800-BACK_1800x_2ec36e8e-4b4c-483a-b373-b0b3722435de_1024x.jpg?v=1594817250,//cdn.shopify.com/s/files/1/0322/0537/products/101010800-HEM_1024x1024_56477ac7-429d-4724-a04e-519d9937371a_1024x.jpg?v=1594817250",",,,,,,,,,,,,","9"",9.25"",9.25"",9.5"",9.5"",9.5"",9.75"",10"",10"",10.25"",,,",,"7"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",8.5"",8.75"",9"",,,","6"",6.25"",6.5"",6.75"",6.75"",7.25"",7.25"",7.25"",7.5"",8"",,,","10"",10.25"",10.5"",10.5"",10.5"",11"",11.25"",11.5"",11.75"",12"",,,","27"",28"",29"",30"",31"",32"",33"",34"",36"",38"",,,",,,,,,,,141.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-super-guy/products/super-guy-indigo-selvedge,NFDenimBot,13
