brand,cut,date_scrape,description_bullet,description_paragraph,name,picture_urls,post_back_rise_inch,post_front_rise_inch,post_inseam_inch,post_knee_inch,post_leg_opening_inch,post_upper_thigh_inch,post_waist_inch,pre_back_rise_inch,pre_front_rise_inch,pre_inseam_inch,pre_knee_inch,pre_leg_opening_inch,pre_upper_thigh_inch,pre_waist_inch,retail_price,sale_price,tag_size,url,user_enter,weight
Naked & Famous Denim,Weird Guy,2021-01-22 08:43:21.466198+00:00,"12.5oz Japanese Selvedge Denim,98% Cotton / 2% Elastane,Made in Canada,SKU: 012643","The Black x Grey Stretch Selvedge is a 12.5oz rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The steel color tone is created by combining the black dyed warp with the grey weft. This denim is made with 2% stretch for added comfort, without compromising durability. Other details include tonal stitching, full grain grey leather patch, red selvedge ID, black metal buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 12.5oz Japanese Selvedge Denim 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU: 012643 
",Black x Grey Stretch Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/012643-FOLDED_1024x.jpg?v=1568717688,//cdn.shopify.com/s/files/1/0322/0537/products/012643-FRONT_1800x_fb9293db-16d3-4eb9-bd39-a87c15e0a000_1024x.jpg?v=1604433291,//cdn.shopify.com/s/files/1/0322/0537/products/012643-BACK_1024x1024_3c4b7ca7-d0b2-48f9-b603-92465ac01b64_1024x.jpg?v=1604433291,//cdn.shopify.com/s/files/1/0322/0537/products/012643-HEM_1800x_c2cf0bc8-f44f-44de-89a9-f7a0d0cb5350_1024x.jpg?v=1604433291",",,,,,,,,,,,,",",10"",10.25"",10.5"",10.5"",10.5"",10.75"",11"",11.25"",11.25"",,,",,",8"",8"",8.25"",8.5"",8.75"",9"",9.25"",9.5"",9.75"",,,",",7"",7"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",8.75"",,,",",11"",11.25"",11.5"",11.75"",12"",12.5"",12.5"",12.75"",13.25"",,,",",30"",31"",32"",33"",34"",35"",36"",38"",40"",,,",,,,,,,,177.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/naked-famous-denim-weird-guy-black-x-grey-stretch-selvedge,NFDenimBot,12.5
Naked & Famous Denim,Weird Guy,2021-01-22 08:43:28.435230+00:00,,"The Grey Selvedge is a 13oz Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction.  The grey warp and white weft combined give the denim a uniform surface color with complimentary silver metallic selvedge ID.  The fabric is dense will slowly fade and break in with wear.   The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 13oz Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 011063 
",Grey Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/011060-FOLDED_43593284-b57f-480a-9624-fcd76db9d107_1024x.jpg?v=1608300771,//cdn.shopify.com/s/files/1/0322/0537/products/011063-FRONT_1024x1024_0fe1a3e5-db01-46ec-9f80-4e2e8674e624_1024x.jpg?v=1604431568,//cdn.shopify.com/s/files/1/0322/0537/products/011063-BACK_1024x1024_fc7fbcc8-e979-4dbf-b3c4-e00e48694df1_1024x.jpg?v=1608300784,//cdn.shopify.com/s/files/1/0322/0537/products/011063-HEM_1024x1024_0ec0a787-f5e4-46b6-a2ea-39d65a36765b_1024x.jpg?v=1604431568",",,,,,,,,,,,,",",10"",10.25"",10.5"",10.5"",10.5"",10.75"",11"",11.25"",11.25"",,,",,",8"",8.1"",8.3"",8.6"",8.7"",9"",9.25"",9.5"",9.75"",,,",",7"",7.1"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",8.75"",,,",",11"",11.25"",11.5"",11.75"",12"",12.5"",12.5"",12.75"",13.25"",,,",",30"",31"",32"",33"",34"",35"",36"",38"",40"",,,",,,,,,,,148.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/naked-famous-weird-guy-grey-selvedge,NFDenimBot,13
Naked & Famous Denim,Weird Guy,2021-01-22 08:43:35.426118+00:00,"100% Cotton,Unsanforized Japanese Selvedge Denim,Made in Canada,SKU: 101066603","The Japan Heritage Returns is a 14.5oz Unsanforized Japanese Selvedge denim with a slubby uneven texture. A result of low tension weaving techniques, and the use of uneven shaped Slub yarns. The yarn is rope dyed with indigo and due to the irregular shape of the yarn indigo absorption varies from section to section. Over time with wear, as the indigo starts to fade, a wide gradient of indigo becomes visible, and allows for a high contrast three dimensional textured fade. Other details include contrast stitching, natural tan leather patch, red selvedge ID, dark copper buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 100% Cotton 
 Unsanforized Japanese Selvedge Denim 
 Made in Canada 
 SKU: 101066603 
",Japan Heritage Returns,"//cdn.shopify.com/s/files/1/0322/0537/products/101066603-FOLDED_1024x.jpg?v=1569010244,//cdn.shopify.com/s/files/1/0322/0537/products/101066603-FRONT_1024x.jpg?v=1569010244,//cdn.shopify.com/s/files/1/0322/0537/products/101066603-BACK_1024x.jpg?v=1569010745,//cdn.shopify.com/s/files/1/0322/0537/products/101066603-HEM_e673af3b-bf92-46b8-bc66-cb67418ed799_1024x.jpg?v=1569010244","11"",11.25"",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13"",13.5""","10.25"",10.5"",10.5"",10.75"",10.75"",11"",11"",11.25"",11.5"",12""",,"6.5"",6.75"",7"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",8.75""","36"",36"",36"",36"",36"",36"",36"",36.5"",36.5"",36.5""","8"",8"",8.25"",8.25"",8.5"",8.75"",9"",9.5"",9.75"",10""","28"",29"",30"",31"",32"",33.5"",34"",36.5"",38.5"",41""","11"",11.25"",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13"",13.5""","10.25"",10.5"",10.5"",10.75"",10.75"",11"",11"",11.25"",11.5"",12""",,"6.5"",6.75"",7"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",8.75""","36"",36"",36"",36"",36"",36"",36"",36.5"",36.5"",36.5""","8"",8"",8.25"",8.25"",8.5"",8.75"",9"",9.5"",9.75"",10""","28"",29"",30"",31"",32"",33.5"",34"",36.5"",38.5"",41""",158.00,126.00,"28,29,30,31,32,33,34,36,38,40,28,29,30,31,32,33,34,36,38,40",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/weird-guy-japan-heritage-returns,NFDenimBot,14.5
Naked & Famous Denim,Weird Guy,2021-01-22 08:43:42.225148+00:00,"23oz Unsanforized Japanese Selvedge Denim,100% Cotton,Made in Canada,SKU: 101034103","The King of Slub is a 23oz Unsanforized Japanese Selvedge denim with an extremely slubby uneven texture. A result of low tension weaving techniques, and the use of custom developed irregular sized “King Slub Yarn”. The King Slub Yarn was developed over a 2 year period, as standard Slub yarns could not produce such an extreme three dimensional texture. The yarn is rope dyed with indigo and due to the thickness and irregular shape of the yarn indigo absorption varies from section to section. Over time with wear, as the indigo starts to fade, a wide gradient of indigo becomes visible, and the thickness of the yarn allows for an extreme high contrast three dimensional textured fade. Other details include contrast stitching, buffalo leather patch, red selvedge ID, dark copper buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 23oz Unsanforized Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 101034103 
",King of Slub,"//cdn.shopify.com/s/files/1/0322/0537/products/101034103-FOLDED_d8692120-3383-42a7-b99d-b81a51a75c94_1024x.jpg?v=1569014845,//cdn.shopify.com/s/files/1/0322/0537/products/101034103-FRONT_ab1a3ecf-afe9-4e72-9d7a-45a459d8a38e_1024x.jpg?v=1569014845,//cdn.shopify.com/s/files/1/0322/0537/products/101034103-BACK_0e20c817-8724-49fa-bf4d-db7c48904b6a_1024x.jpg?v=1569014845,//cdn.shopify.com/s/files/1/0322/0537/products/101034103-HEM_7fe589cb-a1f3-48b7-8d36-6e399e330f74_1024x.jpg?v=1569014845","11.25"",11.5"",11.75"",12.25"",12.25"",12.25"",12.75"",13.5"",14"",14.75"",14.5""","10.5"",10.5"",10.75"",10.75"",11"",11.25"",11.5"",11.5"",12"",12.5"",12.75""",,"7"",6.75"",7"",7.5"",7.5"",7.5"",8"",8.5"",8.75"",9.25"",9.5""","35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5""","8.25"",8"",8.25"",8.5"",8.75"",9"",9"",9.5"",10"",10.75"",11.5""","30"",31"",32"",33"",34"",35"",36"",38"",40"",42"",44""","11.25"",11.5"",11.75"",12.25"",12.25"",12.25"",12.75"",13.5"",14"",14.75"",14.5""","10.5"",10.5"",10.75"",10.75"",11"",11.25"",11.5"",11.5"",12"",12.5"",12.75""",,"7"",6.75"",7"",7.5"",7.5"",7.5"",8"",8.5"",8.75"",9.25"",9.5""","35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5"",35.5""","8.25"",8"",8.25"",8.5"",8.75"",9"",9"",9.5"",10"",10.75"",11.5""","30"",31"",32"",33"",34"",35"",36"",38"",40"",42"",44""",315.00,,"28,29,30,31,32,33,34,36,38,40,42,28,29,30,31,32,33,34,36,38,40,42",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/weird-guy-king-of-slub,NFDenimBot,23
Naked & Famous Denim,Weird Guy,2021-01-22 08:43:48.446655+00:00,"10oz Japanese Stretch Denim,98% Cotton / 2% Elastane,Made in Canada,SKU: 101212103","The Natural Seed Denim is an undyed 10oz denim with the cotton seeds left intact. Early in cotton processing, the seeds are usually removed to ensure uniform texture and color. This denim, though, is the untouched natural color of cotton with the cotton seeds present as small brown flecks adding depth and warmth to the fabric. This is a lightweight denim best for warmer weather with 2% stretch added for comfort. Cut, sewn, built in Canada with tonal stitching, a Full Grain English Tan leather patch, silver metallic buttons and rivets, and a zip fly. The Weird Guy is a standard tapered fit with a medium rise, a comfortable top block, and a taper from knee to hem.  
 10oz Japanese Stretch Denim 
 98% Cotton / 2% Elastane 
 Made in Canada 
 SKU: 101212103 
",Natural Seed Denim,"//cdn.shopify.com/s/files/1/0322/0537/products/FOLDED_74acf5e9-e6d7-412d-9808-d486fe084a1a_1024x.jpg?v=1569069698,//cdn.shopify.com/s/files/1/0322/0537/products/FRONT_1047c630-8244-4c86-a65a-bd5636543dc0_1024x.jpg?v=1569069698,//cdn.shopify.com/s/files/1/0322/0537/products/BACK_58eed00b-b71f-4885-b9c3-ce1df1106b7a_1024x.jpg?v=1569069698,//cdn.shopify.com/s/files/1/0322/0537/products/101212100-HEM_63459bfd-055c-4329-a338-1b86ac9ffc64_1024x.jpg?v=1569069698",",,,,,,,,,,,,",",10.5"",10.75"",11"",11"",11.25"",11.25"",11.5"",11.5"",11.75"",12"",12"",",,",7.75"",7.75"",8"",8.25"",8.5"",9"",9.25"",9.5"",10"",10.25"",10.5"",",",6.75"",6.75"",7"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",9"",9.25"",",",11"",11"",11.25"",11.5"",12"",12.5"",13"",13.25"",13.5"",14"",14"",",",30"",31"",32"",33"",34"",35"",36"",38"",40"",42"",43"",",,,,,,,,136.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/naked-famous-weird-guy-natural-seed-denim,NFDenimBot,10
Naked & Famous Denim,Weird Guy,2021-01-22 08:43:55.434189+00:00,"12oz Japanese Denim,10% Cashmere / 88% Cotton / 2% Stretch,Made in Canada,SKU: 013623","The Cashmere Stretch Blend Denim is a 12oz indigo rope dyed Japanese denim, woven on vintage shuttle looms in a right hand twill construction. This denim is made with 10% cashmere and 2% stretch for luxurious comfort, without compromising durability. The brushed interior feels amazing on your skin. Other details include contrast stitching, brown suede leather patch, silver metallic buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 12oz Japanese Denim 
 10% Cashmere / 88% Cotton / 2% Stretch 
 Made in Canada 
 SKU: 013623 
",Cashmere Stretch Blend Denim,"//cdn.shopify.com/s/files/1/0322/0537/products/013623-FOLDED_1024x.jpg?v=1594817510,//cdn.shopify.com/s/files/1/0322/0537/products/013623-FRONT_1024x.jpg?v=1594817509,//cdn.shopify.com/s/files/1/0322/0537/products/013623-BACK_1024x.jpg?v=1594817510,//cdn.shopify.com/s/files/1/0322/0537/products/013620-HEM_910cf0d3-f64f-4cf1-a631-91e545aeabfe_1024x.jpg?v=1594817509","13.75"",14"",14.25"",14.25"",14.5"",14.75"",15"",15"",15.25"",15.75""","11"",11"",11.25"",11.5"",11.5"",11.75"",11.75"",12.25"",12.5"",12.75""",,"7.5"",7.75"",8"",8.25"",8.5"",8.5"",8.75"",9.25"",9.5"",9.75""","6.5"",6.75"",7"",7.25"",7.5"",7.5"",7.75"",8"",8.5"",8.75""","11"",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13.5"",14"",14.25""","31"",32"",33"",34"",35"",36"",37"",38"",40"",43""",,,,,,,,228.00,,"28,29,30,31,32,33,34,36,38,40",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/weird-guy-cashmere-stretch-blend-denim,NFDenimBot,12
Naked & Famous Denim,Weird Guy,2021-01-22 08:44:02.443406+00:00,"14oz Japanese Selvedge Denim,90% Cotton / 10% Kevlar,Made in Canada,SKU: 101186103","The Guardian Selvedge is a 14oz Japanese selvedge denim made with 10% real Kevlar® fibers for increased durability and strength. Kevlar® fiber yarn is famous for being 5 times stronger than steel, per weight. Please note that these jeans are not bulletproof so please don’t try to shoot yourself in the leg. Other details include contrast stitching, full grain black leather patch, white selvedge ID, black military spec non reflective buttons and rivets.  *Kevlar® is a trademark or registered trademark of E.I. du Pont de Nemours and Company.*  The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem.  
 14oz Japanese Selvedge Denim 
 90% Cotton / 10% Kevlar ® Fiber 
 
 Made in Canada 
 SKU: 101186103 
",Guardian Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/FOLDED_2099542a-e922-4a4f-9b3f-ce3067e04465_1024x.jpg?v=1594817521,//cdn.shopify.com/s/files/1/0322/0537/products/FRONT_0de79aa1-8593-428c-a19f-d2d8a5d9060a_1024x.jpg?v=1594817522,//cdn.shopify.com/s/files/1/0322/0537/products/BACK_52246c20-56d9-461b-85d5-744a3870cc1d_1024x.jpg?v=1594817521,//cdn.shopify.com/s/files/1/0322/0537/products/HEM_5bb8b91a-f881-448e-9873-96e0a4fb462b_1024x.jpg?v=1594817521","14"",14"",14"",14.25"",14.5"",14.75"",14.75"",15"",15.25"",15.5"",16"",16""","11"",11.25"",11.25"",11.5"",11.75"",11.75"",11.75"",12"",12.25"",12.5"",12.75"",13""",,"8"",8.25"",8.5"",8.5"",8.75"",9"",9.25"",9.75"",9.75"",10.75"",11"",11.25""","6.75"",7"",7.25"",7.25"",7.5"",8"",8"",8.75"",8.75"",9.25"",9.5"",9.75""","11.25"",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13.25"",15.5"",15.5"",15.75"",15.75""","30"",31"",32.5"",33"",34"",34.5"",35"",37"",40"",41.5"",43"",45""",,,,,,,,195.00,,"28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/naked-famous-weird-guy-guardian-selvedge,NFDenimBot,14
Naked & Famous Denim,Weird Guy,2021-01-22 08:44:09.324714+00:00,"13oz Japanese Selvedge Denim,100% Cotton,Made in Canada","The Indigo Selvedge is a 13oz indigo rope dyed Japanese selvedge denim, woven on vintage shuttle looms in a right hand twill construction. The fabric is dense, and will slowly fade with wear. Other details include contrast stitching, full grain brown leather patch, red selvedge ID, silver metallic buttons and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 13oz Japanese Selvedge Denim 
 100% Cotton 
 Made in Canada 
 SKU: 011083 
",Indigo Selvedge,"//cdn.shopify.com/s/files/1/0322/0537/products/011083-FOLDED_1024x.jpg?v=1568671687,//cdn.shopify.com/s/files/1/0322/0537/products/011083-FRONT_1024x1024_4a4b0862-0ad8-4466-b4bc-a3830e623fcb_1024x.jpg?v=1604432116,//cdn.shopify.com/s/files/1/0322/0537/products/011083-BACK_1024x1024_a7b2574a-1451-4816-b0a4-948434683de0_1024x.jpg?v=1604432116,//cdn.shopify.com/s/files/1/0322/0537/products/011083-HEM_1800x_c6c6ef13-2804-4de1-8228-a3f0b2ac5eb1_1024x.jpg?v=1604432116",",13.5"",13.75"",14"",14.25"",14.5"",14.5"",14.75"",15"",15.25"",,,","9.75"",10.5"",10.75"",11"",11.25"",11.5"",11.75"",11.75"",11.75"",12"",,,",,"8"",8"",8.25"",8.5"",8.75"",9"",9.25"",9.25"",9.75"",10"",,,","6.75"",7"",7.25"",7.25"",7.5"",7.5"",7.75"",8"",8.5"",8.75"",,,","10.75"",11.25"",12"",12"",12.25"",12.5"",12.75"",13.25"",13.5"",14"",,,","29"",30"",31"",32"",33"",34"",35"",26"",38"",40"",,,",,,,,,,,141.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/naked-famous-weird-guy-indigo-selvedge,NFDenimBot,13
Naked & Famous Denim,Weird Guy,2021-01-22 08:44:15.600380+00:00,,"The Wax Coated Black Stretch is a 12oz black Japanese power stretch denim, woven in a right hand twill construction. The denim is dyed black on both the warp and weft for a solid black color tone. A paraffin wax coating is then applied to give the fabric a leather like shine. The dye is resistant to fading to ensure the jeans stay blacker longer. The denim is made with 2% stretch for increased comfort, and has an incredible stretch recovery performance allowing the jeans to snap back to shape wear after wear. Other details include tonal stitching, full grain black leather patch, black metal waist button and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 
 12oz Japanese Denim 
 98% Cotton / 2% Polyurethane 
 Made in Canada 
 SKU: 101055903 
 
",Wax Coated Black Stretch,"//cdn.shopify.com/s/files/1/0322/0537/products/101055903-FOLDED_1800x_e2e5fc79-5acf-42c3-b707-4f9f92c53e05_1024x.jpg?v=1594817788,//cdn.shopify.com/s/files/1/0322/0537/products/101055903-FRONT_1800x_0280dfc7-3bfd-44ba-8ffc-6cd5c6eddc73_1024x.jpg?v=1594817789,//cdn.shopify.com/s/files/1/0322/0537/products/101055903-BACK_1024x1024_7a4358bb-96eb-4632-874f-147c28f5b0a1_1024x.jpg?v=1594817788,//cdn.shopify.com/s/files/1/0322/0537/products/101055903-HEM_1024x1024_0cc2ceb9-ea44-4fea-b86c-02ff060d5a22_1024x.jpg?v=1594817788",",,,,,,,,,,,,",",10.75"",11"",11"",11.25"",11.25"",11.5"",11.5"",11.75"",12"",,,",,",8"",8"",8.25"",8.5"",8.75"",9"",9.25"",9.5"",10"",,,",",7"",7"",7.25"",7.5"",7.75"",8"",8.25"",8.5"",8.75"",,,",",11.25"",11.5"",11.75"",12"",12.25"",12.5"",12.7"",13"",13.5"",,,",",30"",31"",32"",33"",34"",35"",36"",38"",40"",,,",,,,,,,,,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/weird-guy-wax-coated-black-stretch,NFDenimBot,12
Naked & Famous Denim,Weird Guy,2021-01-22 08:44:22.435650+00:00,,"The Indigo Power Stretch is a 12oz indigo Japanese power stretch denim, woven in a right hand twill construction. The denim is dyed indigo on the warp and white on the weft for a classic look. The dye is designed to fade with prolonged wear.  The denim is made with 5% stretch for increased comfort, and has an incredible stretch recovery performance allowing the jeans to snap back to shape wear after wear. Other details include contrast stitching, full grain brown leather patch, silver metallic waist button and rivets. The Weird Guy is a regular tapered fit; medium rise, standard thigh and slight taper from the knee to hem. 
 12oz Japanese Denim 
 95% Cotton / 5% Elastane 
 Made in Canada 
 SKU: 101030803 
",Indigo Power Stretch,"//cdn.shopify.com/s/files/1/0322/0537/products/101030803-FOLDED_1800x_55b0280f-7880-4d3a-9255-fe9471bc0d9b_1024x.jpg?v=1594817536,//cdn.shopify.com/s/files/1/0322/0537/products/101030803-FRONT_1800x_203f637d-c215-40a9-a27c-ba126a1b89fb_1024x.jpg?v=1594817536,//cdn.shopify.com/s/files/1/0322/0537/products/101030803-BACK_1800x_4acab09e-19c4-402a-8be9-5561f28e97c3_1024x.jpg?v=1594817536,//cdn.shopify.com/s/files/1/0322/0537/products/013085-HEM_1024x1024_1024x1024_0d131b2a-6424-4406-9ac9-b69ebc0a8bb5_1024x.jpg?v=1594817537",",13.5"",13.75"",13.75"",14"",14.25"",14.5"",14.5"",14.75"",14.75"",,,",",10.5"",10.75"",10.75"",11"",11"",11.25"",11.25"",11.5"",11.75"",,,",,",7.75"",7.75"",8"",8.25"",8.5"",8.75"",9.25"",9.5"",9.75"",,,",",6.75"",6.75"",7"",7.25"",7.5"",7.5"",7.75"",8"",8.5"",,,",",11"",11.25"",11.5"",11.75"",12"",12.25"",12.5"",12.75"",13.25"",,,",",31"",32"",33"",34"",35"",36"",38"",39"",41"",,,",,,,,,,,162.00,,"27,28,29,30,31,32,33,34,36,38,40,42,44",https://www.tateandyoko.com/collections/naked-and-famous-weird-guy/products/weird-guy-indigo-power-stretch,NFDenimBot,12
